"dateEndOfInteraction","dateStartOfInteraction","endOfInteraction","startOfInteraction","subjectID","ID"
"23/04/2024","23/04/2024","19:08:11","16:58:08","sm07",""
"23/04/2024","23/04/2024","19:29:28","19:09:40","sm07",""
"23/04/2024","23/04/2024","21:33:15","19:29:59","sm07",""
"24/04/2024","24/04/2024","08:14:45","08:12:58","sm07",""
"24/04/2024","24/04/2024","08:32:00","08:26:00","sm07",""
"24/04/2024","24/04/2024","08:35:05","08:32:23","sm07",""
"24/04/2024","24/04/2024","08:44:32","08:42:48","sm07",""
"24/04/2024","24/04/2024","08:48:54","08:45:36","sm07",""
"24/04/2024","24/04/2024","09:03:24","08:49:35","sm07",""
"24/04/2024","24/04/2024","09:30:10","09:20:29","sm07",""
"24/04/2024","24/04/2024","09:40:36","09:35:52","sm07",""
"24/04/2024","24/04/2024","09:59:57","09:52:41","sm07",""
"24/04/2024","24/04/2024","12:21:41","12:21:03","sm07",""
"24/04/2024","24/04/2024","12:51:11","12:45:43","sm07",""
"24/04/2024","24/04/2024","13:00:12","12:54:11","sm07",""
"24/04/2024","24/04/2024","13:07:18","13:06:20","sm07",""
"24/04/2024","24/04/2024","13:11:34","13:10:57","sm07",""
"24/04/2024","24/04/2024","17:32:42","17:32:19","sm07",""
"24/04/2024","24/04/2024","17:36:10","17:34:48","sm07",""
"25/04/2024","25/04/2024","08:29:13","08:01:03","sm07",""
"25/04/2024","25/04/2024","08:58:27","08:29:28","sm07",""
"25/04/2024","25/04/2024","17:40:19","17:27:17","sm07",""
"25/04/2024","25/04/2024","17:47:10","17:42:47","sm07",""
"25/04/2024","25/04/2024","17:54:01","17:47:14","sm07",""
"25/04/2024","25/04/2024","17:59:12","17:58:44","sm07",""
"25/04/2024","25/04/2024","18:01:58","18:00:15","sm07",""
"25/04/2024","25/04/2024","18:05:51","18:02:58","sm07",""
"25/04/2024","25/04/2024","18:10:18","18:08:49","sm07",""
"25/04/2024","25/04/2024","18:12:54","18:11:28","sm07",""
"25/04/2024","25/04/2024","18:13:49","18:13:20","sm07",""
"25/04/2024","25/04/2024","18:19:11","18:17:58","sm07",""
"25/04/2024","25/04/2024","18:30:51","18:23:30","sm07",""
"25/04/2024","25/04/2024","18:36:51","18:33:18","sm07",""
"25/04/2024","25/04/2024","19:29:29","19:25:18","sm07",""
"25/04/2024","25/04/2024","19:32:49","19:30:28","sm07",""
"25/04/2024","25/04/2024","19:35:13","19:34:10","sm07",""
"25/04/2024","25/04/2024","19:39:40","19:35:40","sm07",""
"25/04/2024","25/04/2024","19:47:04","19:40:28","sm07",""
"25/04/2024","25/04/2024","20:00:56","19:47:08","sm07",""
"25/04/2024","25/04/2024","20:05:23","20:01:17","sm07",""
"25/04/2024","25/04/2024","20:06:40","20:05:59","sm07",""
"25/04/2024","25/04/2024","20:09:49","20:07:25","sm07",""
"25/04/2024","25/04/2024","20:22:02","20:13:45","sm07",""
"25/04/2024","25/04/2024","20:33:19","20:23:07","sm07",""
"25/04/2024","25/04/2024","20:54:10","20:35:35","sm07",""
"25/04/2024","25/04/2024","21:10:33","20:54:10","sm07",""
"26/04/2024","26/04/2024","10:46:10","10:34:10","sm07",""
"26/04/2024","26/04/2024","11:25:56","10:57:31","sm07",""
"26/04/2024","26/04/2024","11:40:55","11:28:01","sm07",""
"26/04/2024","26/04/2024","11:56:27","11:42:49","sm07",""
"26/04/2024","26/04/2024","11:56:49","11:56:31","sm07",""
"26/04/2024","26/04/2024","12:54:27","11:57:37","sm07",""
"28/04/2024","28/04/2024","11:56:01","11:22:34","sm07",""
"28/04/2024","28/04/2024","12:06:09","12:03:37","sm07",""
"28/04/2024","28/04/2024","12:29:06","12:06:12","sm07",""
"28/04/2024","28/04/2024","12:33:21","12:32:59","sm07",""
"28/04/2024","28/04/2024","12:43:31","12:41:27","sm07",""
"28/04/2024","28/04/2024","12:56:28","12:43:35","sm07",""
